Nome do Ativo;Data;PU Curva;PU Indicativo;Taxa Compra;Taxa Indicativa;Quantidade em Mercado
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;10/03/2021;1000;;;;
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;11/03/2021;1000,251287;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;12/03/2021;1000,502642;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;15/03/2021;1000,754055;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;16/03/2021;1001,005524;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;17/03/2021;1001,257072;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;18/03/2021;1001,508667;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;19/03/2021;1001,789486;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;22/03/2021;1002,070382;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;23/03/2021;1002,351357;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;24/03/2021;1002,6324;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;25/03/2021;1002,913531;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;26/03/2021;1003,19474;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;29/03/2021;1003,476037;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;30/03/2021;1003,757402;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;31/03/2021;1004,038845;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;01/04/2021;1004,320366;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;05/04/2021;1004,601975;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;06/04/2021;1004,883653;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;07/04/2021;1005,165418;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;08/04/2021;1005,447263;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;09/04/2021;1005,729174;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;12/04/2021;1006,011175;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;13/04/2021;1006,293254;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;14/04/2021;1006,575411;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;15/04/2021;1006,857646;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;16/04/2021;1007,13996;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;19/04/2021;1007,422362;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;20/04/2021;1007,704833;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;22/04/2021;1007,987381;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;23/04/2021;1008,270018;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;26/04/2021;1008,552724;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;27/04/2021;1008,835518;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;28/04/2021;1009,118391;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;29/04/2021;1009,401332;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;30/04/2021;1009,684362;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;03/05/2021;1009,96747;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;04/05/2021;1010,250657;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;05/05/2021;1010,533922;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;06/05/2021;1010,817276;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;07/05/2021;1011,129914;;;;
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;10/05/2021;1011,442652;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;11/05/2021;1011,755488;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;12/05/2021;1012,068423;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;13/05/2021;1012,381458;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;14/05/2021;1012,694582;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;17/05/2021;1013,007805;;;;300000
POSI12 - POSITIVO TECNOLOGIA - 20250225 - DI + 4.55%;18/05/2021;1013,321127;;;;300000
